Number,Date,Text
1,2020-09-07,"Man I tried. I had a gal lined up to join Military Intelligence then Covid hit, they delayed her enlistment, her Army nurse sister talked her out of it. So I’m chipping in to help her finish her BSN while she works at a dementia care facility. She’ll be an amazing nurse I’m sure."
2,2020-09-07,My grandmother requires 24/7 supervision due to her dementia. The healthcare worker who is supposed to assist this evening just got back from out of state travel to a large funeral. The coordinating care facility's response to our concern is that you can catch covid anywhere. 🙄
3,2020-09-07,"I cry too, my 92 year old mum with advanced dementia, I’ve not seen since Sept. My family terrified she catches COVID in her nursing home. Grateful people keep her safe so that she can see out her days safely and comfortably. See a different perspective and get off your soap box "
4,2020-09-07,Now that covid has killed my mom I am going to be nasty to these people. She lived in assisted living and hadn’t been outside in 2 years bc of dementia and these asswipes have killed her
5,2020-09-07,"Depends on the comorbidities. When I see them adding in Alzheimers and vascular dementia I call foul My Dad technically died of pneumonia but it was because his Alzheimers made him forget how to cough If you are in cardiac arrest or heart failure you are in danger, Covid or not"
6,2020-09-07,My friends nan had dementia for ages and she was put down as a covid death?
7,2020-09-07,"Watched another heart breaking story of dementia  and separation @STVNews caused by Covid restrictions. It’s not even about indoor  and outdoor visiting, it’s about closeness and touch. Why can’t I hold my Mums hand with a glove on and a mask AND having been tested? @scotgov @JeaneF1MSP"
8,2020-09-07,It's about Labor UNIONS. You know the thing that you and the GOP are trying to kill so you don't have to pay a living wage. Shouldn't you be out trying to get Covid so our economy can open? 
9,2020-09-07,"My mum received the covid virus as a free gift whilst on a 2 week stay in hospital with gastroenteritis, she came out far worse than she went in. Don't know of anyone else who has had the virus only a family friend who died through dementia but his death certificate States covid"
10,2020-09-07,Really cross to be told my mum - dementia and diabetes- still can't have her foot appt (cancelled at start of lockdown) as surgery only allowed 15 min appts to reduce covid risk. A hair appt takes longer and that's seen as ok. No logic to what's allowed.
11,2020-09-07,"Or live alone with dementia and all the trouble I have. I can't even drive myself to a doctor. I don't remember all the rules myself. I'm terrible at wearing a mask. Someone pointed out I had it inside out at the covid testing place. Im gonna die, I hope. Im tired of life."
12,2020-09-07,"Youre right actually, he decelerated our response to covid which decelerated the economy. The dementia/pedo accusation is a big time projection from the MAGA groupies...dude has more pics w/Epstein  and  Maxwell than most people have with their family."
13,2020-09-07,So you’re going to cut me off because I don’t have the newest iPhone? Honestly? This game has gotten me through the COVID Physical distancing. It’s given me some peace from my moms Dementia diagnosis. SERIOUSLY???? Come on man. So disappointed
14,2020-09-07,Months before my father-in-law was diagnosed with dementia he began to act erratically.
15,2020-09-07,"We too live in Cornwall, with 90yr Mammy on the West Coast, we sometimes drive to Crewe and get the train up (train all the way 13hrs!) Or drive stopping overnight half way. She has Alzheimer’s & dementia and is now struggling with depression due to Covid. Stay strong!"
16,2020-09-07,My grandpa fell and hit his head and has been admitted to the hospital. They just called my mom to let her know he’s been fighting the nurses and keeps knocking his IV thing over. 🥺 he has really bad dementia and they won’t let my grandma in with him because of covid.
17,2020-09-06,Some people have it hard at the other extreme. My mate`s mum and dad celebrated their 70th wedding anniversary but sadly his mum succumbed to Covid-19 aged 98. Coping with parents with dementia cannot be easy.
18,2020-09-06,"I've seen a massive rise & progression in dementia in my practice since the lockdowns. Deaths from dementia (not COVID) jumped by 20,000 per week during max lockdowns. Because lockdowns kill. When I say #OpenUpUSA it triggers people. As if they care for lives  and  I don't. Silly"
19,2020-09-06,My Mum is in a nursing home with Dementia where there are Covid cases. She still has HS subscription because it makes her happy. If she catches it and dies cancelling it will be one of the first things I do....
20,2020-09-06,"Depending on the status of COVID in your area, going to a polling place has risks. Since I take care of my 78 year old dad with early dementia and heart disease and strokes, I’m not willing to risk it and will vote by mail for the first time."
21,2020-09-06,This is so unfair 😭 my papaw has alzheimers/dementia and covid restrictions have been hard on him and my mamaw. Yesterday was their 56th anniversary and this is how they had to spend it. 💔 
22,2020-09-06,I sympathise. My mother-in-law's care home has had to stop all visits because visitors disobeyed rules and now they have new cases of covid. She also suffers from dementia. The problem was that visitors cared only about their own family members and not about other residents/staff
23,2020-09-06,"I detest Johnson and his cohort with every fibre of my being but can we all stay at home for ever? Covid is here to stay along with AIDS, Polio cancer dementia etc etc life’s a lottery if you live in UK you have a winning ticket in Syria less so"
24,2020-09-06,Would help me in paying medical bills for my dad he suffers from dementia and with the covid things have been very challenging
25,2020-09-06,My son has CHD and has been no masks in classroom. My concern is not only for his health but I work in dementia care home. We have been covid free throughout. This could all be ruined by kids not wearing masks like I have to in my job #COVID2019 #ProtectOurChildren #WearAMask
26,2020-09-06,"I just got off the phone w/ my aunt(mothers sister) who has dementia  and  currently battlin Covid. Just hearing her voice crushed me. I couldn't stay on the phone, tears were poring down my face  and  I didnt want her 2 hear my sobs. I already lost two family members this year.2020 sigh"
27,2020-09-06,For me when I am having a really bad day I do not watch tv or read about it. It is now three weeks since I became unwell and two weeks when I received my positive result for covid. Believe me looking after my mum with dementia and special needs brother whilst having covid.
28,2020-09-06,"My neighbors father had advanced dementia and on the verge of death. Due to organs shutting down, he had a day perhaps two. His death certificate states he died of Covid. I’m hearing about similar stories around the country. What’s the real count. Needs to be investigated"
29,2020-09-06,"In the U.K. my relative with dementia was upset  and  confused why they could not see their family. His wife went along with rules  and  he died anyway, not of covid. After 50 years of seeing him every day, last 3 months he was alone 💔Go see relatives before it is too late. Fight for it"
30,2020-09-06,"Where the fuck were these in Feb/March when my grandad and 80% of the old folks in his dementia room were all killed off by COVID? Useless unprepared, too fucking late fuck head."
31,2020-09-06,"Think he means quite often, these people were just allowed to die. How many while probably not in their best interests could have been saved. Including my 82 year old best mates grandpa who is is the only person I know to have died WITH Covid. He had severe dementia."
32,2020-09-06,"Spot on. My Paramedic wife doesn’t have to gown up to the hilt to help heart disease and dementia patients. She has seen first hand the efforts of Covid-19 and is fearful of catching it  and  passing it on to us, her family. Welch  and  Madeley can keep ignorance to themselves"
33,2020-09-06,"As a person under 55 I am more likely to die in the bath than of covid, yet my business has almost been entirely sacrificed and my mother cannot get care assistance as her dementia diagnosis has been delayed since Mar as appointments are cancelled. It’s just ridiculous"
34,2020-09-06,I'm a constituent. I'm an ITU nurse who cared for COVID patients during the petrifying peak of the pandemic. I just want you to help me visit my mum (with dementia)in her care home before she dies.
