Unnamed: 0,TweetID,Permalink,To,Text,Date,Retweets,Mentions,Hashtags
2,1303112575543128068,https://twitter.com/AngelaTofilski/status/1303112575543128068,stillmissHK,"I know a doctor who told me that the flu shot causes Dementia. And, if we let them jab us once for covid, this allowance could turn into a mandated, yearly, adult vaccine.",2020-09-07 23:27:03+00:00,0,,
3,1303110235502989313,https://twitter.com/CAUSSA2/status/1303110235502989313,RichHiggins_DC,They are doing an intervention for an obese women that Covid would love to invade and a senior with dementia. How did the intervention work out @RichHiggins_DC ?,2020-09-07 23:17:45+00:00,0,@RichHiggins_DC,
6,1303095066488168449,https://twitter.com/KennettDoes/status/1303095066488168449,,"I see that ""zero Covid strategy"" is now the buzz phrase we all need to fap ourselves silly over. Maybe when we also employ a ""zero cancer"", ""zero heart disease"", ""zero dementia"" and ""zero suicide"" strategy alongside it, I'll start taking you idiots seriously... #ZeroCovid",2020-09-07 22:17:28+00:00,0,,#ZeroCovid
8,1303090221932838916,https://twitter.com/KSBjork/status/1303090221932838916,EthicalSkeptic,"This shows the best analysis of the actual impact of the “lockdown” and how much worse it has been than the actual Covid victims in deaths (minus Alzheimer’s/Dementia despair deaths), so with that added it would be even more! ",2020-09-07 21:58:13+00:00,0,,
11,1303079564118077440,https://twitter.com/_taylor_/status/1303079564118077440,,this is me because of COVID dementia ,2020-09-07 21:15:52+00:00,0,,
12,1303078663429201927,https://twitter.com/DizzyDaphne69/status/1303078663429201927,cally22001,"No that information is incorrect. The UK has labelled Covid as present on death certificates that have been cited towards the 190k deaths in the EU area. These people have died from Cancers, accidents, dementia, heart attacks, strokes, falls etc etc but Covid has been present.",2020-09-07 21:12:18+00:00,0,,
13,1303076535017107466,https://twitter.com/ddonniedementia/status/1303076535017107466,JLCauvin,How exactly has a vet’s job changed since Covid came into play? Where’s the heroism exactly?,2020-09-07 21:03:50+00:00,0,,
14,1303067907069554690,https://twitter.com/tw10101/status/1303067907069554690,ReeeeSpectWalk,It’s actually the normal way of recording deaths. They can put several contributions on a certificate. Don’t know why they count deaths as covid with simply a mention though. This was highlighted a few years ago with dementia appearing on so many certificates but not direct cause,2020-09-07 20:29:33+00:00,0,,
15,1303066969307049988,https://twitter.com/GertaYampolsky/status/1303066969307049988,bigbobfart,"Take a look at CD’s Table 3 and you will see that those conditions like “rhinal falure”, “late stage dementia”, etc would have killed them w/o Covid. Also, if died in car accident, but tested positive, it’s counted as Covid death 🤦‍♀️",2020-09-07 20:25:49+00:00,0,,
16,1303066864403320834,https://twitter.com/baltimix/status/1303066864403320834,davramdavram,"@BillGates has pledged to give away 2/3 of his wealth during his lifetime. He is largely responsible for the eradication of polio and is currently trying to do the same for dementia, malaria and COVID-19. Do we hate him to?",2020-09-07 20:25:24+00:00,0,@BillGates,
